"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"P2RX2",308.637498356407,-8.98387367445431,1.40803170439719,-6.38044842768685,1.76570182382833e-10,1.98447227980067e-08
"P4HB",3182.59733486332,0.608584048177782,0.186936159043461,3.25557158813931,0.00113164363746106,0.0256164004862536
"PAGE2",981.185006132608,10.3681255474793,1.15642330921078,8.96568364274426,3.08361977023172e-19,5.33181578425143e-16
"PAK4",2701.37735821029,0.68536170105313,0.189633635101305,3.61413575543705,0.000301351142199142,0.00823058441598095
"PAPL",1228.95094951438,-1.44556888983069,0.475452051076879,-3.04040940943789,0.00236256753171793,0.0467480571989046
"PASD1",81.7472959616006,6.78286700078731,1.40821832256014,4.81663027111879,1.46002858133685e-06,7.03964348600608e-05
"PBXIP1",2223.73586530796,-1.8471995002417,0.512254561728593,-3.60601864434035,0.000310930806784765,0.0084613833836658
"PCDH9",346.620756830632,-9.15170584220882,1.4033375049456,-6.52138620250415,6.96605625687215e-11,9.78643828387327e-09
"PCDHA10",423.946377043356,-9.31270162263334,1.28970688869705,-7.22078923843052,5.16867081807217e-13,1.42465621548999e-10
"PCDHA4",81.8519981594974,7.36850355302868,1.46690356973544,5.02316832888859,5.08259610317758e-07,3.69730081576782e-05
"PCDHB11",232.293403298547,-8.32583717414133,1.35599966542365,-6.13999943100291,8.25217764358962e-10,7.60214955215605e-08
"PCDHGA7",73.8186234237991,6.74235327666857,1.41969503663185,4.7491560530242,2.0426727975011e-06,9.0206678079037e-05
"PCGEM1",76.2844486101198,7.26654111008795,1.45365554519915,4.99880534565872,5.76866005133226e-07,4.03184938470016e-05
"PCSK4",2098.62720763249,1.01690270760773,0.367159999119649,2.76964459648651,0.00561174891428706,0.0931616632905055
"PCSK5",3102.41685984179,0.70608791727345,0.209416014326195,3.37169972194017,0.000747058505738837,0.0179597658737942
"PCSK9",2372.81069970411,1.15627474821881,0.315816450788318,3.66122393349872,0.000251013238985296,0.00701775570387
"PDE12",2319.90836205174,1.77883646611517,0.495090318155707,3.59295344886086,0.000326951014764846,0.00882257492182978
"PDGFC",2046.71941177533,0.984172049909819,0.337084758375358,2.91965752071739,0.00350416249741846,0.0645098809311811
"PDK3",1903.01866504398,-1.97433580551529,0.378186115974867,-5.22054015765745,1.7840201573367e-07,1.43731917909012e-05
"PDLIM2",2150.15808949462,-1.39034741044684,0.398787194233916,-3.48643946082006,0.000489496160751472,0.0125676558046356
"PDYN",184.579957476838,6.14547736558587,1.41545790913481,4.34168852773747,1.41391880803659e-05,0.000526193161706066
"PDZD3",82.4773981919355,6.91884670877368,1.45198107592168,4.76510804686748,1.88752476809622e-06,8.58861978487183e-05
"PDZD9",79.7081056855336,-6.88002653016183,1.44607900315682,-4.75771138032058,1.95800179575702e-06,8.75866126546384e-05
"PFKL",2280.65537248895,-2.04934046878566,0.35811845599745,-5.72252123414788,1.04954721737531e-08,9.0737393662162e-07
"PGK1",2208.06902688431,1.97819205398866,0.624081194737697,3.16976712432443,0.00152561155167287,0.0322906746313586
"PGP",1080.95633534617,-1.88844336560943,0.584085849319077,-3.23316061810257,0.00122428707601493,0.0272201037533764
"PHACTR1",230.969516782557,8.41121583379066,1.3755546563037,6.11478125950497,9.66894966190294e-10,8.76365526210703e-08
"PHF5A",2693.73311604631,1.29911608619811,0.416096655232732,3.12214979346924,0.00179535564674211,0.0369899213817316
"PI4K2A",1929.47179848597,1.05934377640688,0.302179958522392,3.50567185721677,0.000455456359693571,0.0117810679553419
"PIGA",2647.86291737602,0.837207498760311,0.21996665858506,3.80606544712579,0.000141195034510247,0.00425439944466666
"PIK3CG",90.8238399724059,5.72725449006483,1.33873170078832,4.27811972084645,1.88478647508322e-05,0.000685537708526223
"PIK3R4",2491.59372973499,1.91038133568817,0.384456993351178,4.96903780845821,6.72859506111292e-07,4.47471478649989e-05
"PINK1",1973.17849354999,0.900432845307819,0.31088487947926,2.89635458249391,0.00377525564666169,0.0680514806941952
"PIP4K2C",952.217684863138,-1.28922706699448,0.375800555060123,-3.43061512186491,0.000602214378145859,0.0148753569142446
"PIP5K1B",387.080265490736,-9.32043116939321,1.38635776322589,-6.72296243915111,1.78066498488777e-11,3.25412906750465e-09
"PIP5KL1",2600.70147247248,0.855139456411375,0.271819667025901,3.14598081061549,0.00165530865916261,0.0345799517106479
"PKD1",2684.22314382772,0.597757429910927,0.210026190440901,2.84610899553086,0.00442570435615392,0.0768786572779194
"PKMYT1",1520.00452130928,-0.993555005496106,0.322262549991044,-3.08306070787225,0.00204883354209546,0.041480769944771
"PLAUR",2424.51442582249,1.37886488814304,0.467999852393787,2.94629342528687,0.00321607156096388,0.0603429520428598
"PLCXD3",77.9874005000054,6.97016179526813,1.43872763189962,4.84467083325916,1.26821757765057e-06,6.44976501064891e-05
"PLD4",76.3962373900231,7.09443552662388,1.43250330314165,4.95247411371753,7.32758065710638e-07,4.69257430229166e-05
"PLEKHA2",1746.31658827167,-2.07510415655186,0.440055880353057,-4.71554693210099,2.41062317318626e-06,0.000104003815137967
"PLEKHA8",1525.40146855631,-1.87307646978715,0.660137750885729,-2.83740244710136,0.00454822431181921,0.0785818494089717
"PLEKHH1",734.492552539486,2.37688606090363,0.734575395792577,3.23572784293853,0.00121333008973196,0.0270135739488941
"PLEKHM3",2958.37994612479,0.527927856699013,0.181549095310411,2.90790684358062,0.00363856708797541,0.0661712872196693
"PLET1",82.9104181483532,6.92648436463305,1.44148523994963,4.80510252389063,1.54672226258319e-06,7.35036427449152e-05
"PLIN3",2028.97496134559,-1.61755803172469,0.409372602038771,-3.95130994030591,7.77245856595046e-05,0.00249228707054828
"PLK4",1094.91148131705,-2.36063695266854,0.595416921948508,-3.96467897644449,7.34947870944644e-05,0.00238042625981177
"PLOD1",2295.40351613445,-1.56662264863581,0.494162936788172,-3.17025525794817,0.00152305077026661,0.0322668569406718
"PLS3",2376.02111698619,1.42812499335294,0.468067383088414,3.05110982937937,0.00227997158815468,0.0452731460764496
"PMF1-BGLAP",289.16522543307,-8.8787538307669,1.40224994116336,-6.33179119508521,2.42331293843881e-10,2.64423438010813e-08
"PNISR",2904.86687085715,0.588041947429799,0.191227451549363,3.07509169141441,0.00210437847663908,0.0424009091676925
"PNPLA3",2140.52180887809,0.624760626795611,0.222011074120703,2.81409668085269,0.00489145147273834,0.0832954895486457
"PNPT1",2496.27323986134,1.44716312133904,0.487439209170883,2.96890995658846,0.00298858156429918,0.056978232741575
"POC1B-GALNT4",76.6235935961177,-7.1123258434697,1.42203936693899,-5.00149715178373,5.68868076504162e-07,4.00846916102211e-05
"POGLUT1",2432.75782640671,-1.01114685722598,0.333153491565913,-3.03507807309271,0.00240473428526695,0.0473738976899479
"POLE2",2268.29936479249,-1.10775471283675,0.353083360702804,-3.13737444503699,0.00170468267328023,0.0353812161865125
"POLR2K",2471.46203732239,1.95763817102832,0.540111874105231,3.62450496810761,0.000289515455234829,0.00797515735633393
"POM121L10P",431.903652339229,9.42534740925297,1.42184462716612,6.62895736226726,3.38066206387605e-11,5.5467534212997e-09
"POTEI",1979.32608978102,-1.80147001719887,0.567605260709211,-3.17380782367656,0.0015045327055565,0.0319951619257323
"POU2AF1",81.9723085812618,7.19739037010617,1.44588308186622,4.97785087907412,6.42941586665906e-07,4.33995224777064e-05
"POU5F1",70.4220859758457,-6.84617435632636,1.40624310523449,-4.86841452295316,1.1249716269783e-06,6.09518697137209e-05
"PPA2",1226.57965700799,-0.977561105311232,0.355451447622019,-2.75019587583943,0.00595596501104635,0.0977926818979546
"PPARGC1B",3091.48235590115,-0.434884067717078,0.157675361792173,-2.75809779520458,0.00581388017006277,0.0958799695250704
"PPID",1071.79578103691,-1.45051828176515,0.379445047554275,-3.82273610135251,0.000131979006646269,0.00401981586909869
"PPIL1",2460.74487175717,1.57630878227872,0.378959530045006,4.15957023720056,3.18846962794537e-05,0.00110432080580826
"PPL",1893.43979990945,-1.95025799546196,0.540903797150532,-3.60555426997531,0.000311487384658072,0.00846627984563984
"PPM1J",2468.85730372459,0.403645621852572,0.136288895784253,2.96169118936549,0.0030595447546282,0.0580358202485508
"PPP1R12B",1948.85403253548,-2.7897131557473,0.510135550896763,-5.46857232522471,4.5367494055621e-08,3.8337238021889e-06
"PPP1R14D",82.1148496244664,7.04416646559711,1.42566186837067,4.94097978060366,7.77309698327083e-07,4.84422475604653e-05
"PPP1R15B",2858.55116371278,0.601065863338597,0.209499895092137,2.86905090369736,0.00411705533721852,0.0725944050019786
"PPP2R5B",1424.94421849661,-1.92345810148376,0.414591401080008,-4.6394066458522,3.49410926702655e-06,0.000145445533526339
"PPP3R2",80.4697804687187,-7.35800183659978,1.45170534193011,-5.06852294613517,4.00914657279676e-07,3.04451340078802e-05
"PPT2-EGFL8",2257.57966122986,-2.31466102906158,0.475376716029476,-4.86910896350687,1.12102583184335e-06,6.09518697137209e-05
"PQLC1",1151.24676088167,-1.10922978951556,0.392927518067392,-2.82298830830503,0.00475783066398291,0.0813900438850897
"PRAP1",324.293168811731,-8.91087884328588,1.38914092646182,-6.41466871614108,1.41129417604536e-10,1.70554142414772e-08
"PRDM10",1815.30062726262,-1.88850254073658,0.21380434925688,-8.83285371556029,1.02038430789444e-18,1.34918814546183e-15
"PRDX2",1831.78827399451,-2.69326916304567,0.587446387070852,-4.58470631928634,4.54624978329773e-06,0.000183796047893825
"PRH1",379.711181428203,8.88555583244603,1.39177026797468,6.38435526099891,1.72121089385988e-10,1.9614417891333e-08
"PRKAR2A-AS1",2328.97617846764,1.00920446159377,0.272409525637728,3.70473264189701,0.000211613813866505,0.00599830429771916
"PRKCE",2980.2069130703,0.64414511950186,0.231613197349092,2.7811244215544,0.00541709711890556,0.0907862213616902
"PRKCH",1509.69313000498,-1.82208626322443,0.624493567340702,-2.91770221266404,0.00352620928261156,0.0648626286862051
"PRMT7",2434.25869508271,1.80407532398854,0.46476968579385,3.88165446054661,0.000103748222823368,0.00322552220279898
"PROKR1",82.9939116941343,6.91240046837709,1.43059274228434,4.83184365757338,1.35274468338881e-06,6.71236092565424e-05
"PRPF38A",765.12715119604,-1.41765458785489,0.506588415217661,-2.7984346764933,0.00513509552025169,0.0868522777307882
"PRPF4",1782.62427969073,-0.945431614863812,0.297687590771768,-3.17591879598589,0.00149362754911259,0.0317933333796901
"PRPH2",70.420901986097,-6.69933684852114,1.40926700943504,-4.75377398581608,1.99654223833736e-06,8.83430638451718e-05
"PRRC2B",2182.54331387109,-2.00132814025425,0.471023406228871,-4.24889318405081,2.14829318578129e-05,0.000773268105352973
"PRSS21",73.872946628477,6.8908469737046,1.40519169335899,4.90384835483379,9.39770509805225e-07,5.52072749382468e-05
"PRSS8",1698.51248099255,1.44685998558928,0.503772137888432,2.87205241570884,0.00407815319207779,0.0721801003555311
"PSAT1",1447.04827620835,-1.81237714573552,0.3622593803876,-5.00298196225137,5.64502246801437e-07,3.99021430930903e-05
"PSD3",2387.83705506518,1.07984460438053,0.284337770049717,3.79775294781173,0.000146013744296016,0.00438197188823211
"PSEN2",2854.39628864906,-0.860327650498661,0.246586154943043,-3.48895358986145,0.000484915332704275,0.0124855977646354
"PSMA3",1662.69647444161,-1.09949214146674,0.358555417526392,-3.06644966920855,0.00216617273660895,0.0433968188712085
"PSMB11",81.6041842064568,6.93140234169342,1.42718374701059,4.85669932565591,1.19358625080522e-06,6.21051660777772e-05
"PSMD11",2090.77200611504,-0.81233366422276,0.256775815439066,-3.16359102134963,0.00155835613603526,0.0327984356046821
